Date_time,condition,age,sex,Treat_time,ease,effective,satisfaction,comment,year,month,time_mark
2008-06-12 12:18:11,Depression,25-34,Male, less than 1 month,5,4,4,"This is the third medication I've been on for depression and I found that this worked great for me, but after two weeks on it I was told that my insurance company won't pay for it. Unfortunately now I have to be switched to something else, hopefully it works just as well.",2008,6,1.213273091e+18
2008-06-17 14:23:11,Depression,45-54,Female, less than 1 month,4,1,1,ANXIETY,2008,6,1.213712591e+18
2008-06-17 17:09:22,Major Depressive Disorder,45-54,Female, less than 1 month,4,1,3,"I've been only taking this for 10 days. but so for no change. I'm still dressed, angry,very sleepy, ",2008,6,1.213722562e+18
2008-06-22 23:12:01,Depression,45-54,Female, less than 1 month,4,2,1,"This medicine seems to cause anxiety and increase aggressive feelings, it has made me feel worse than my previous medicine, i also have concerns about the effect on blood pressure as well",2008,6,1.214176321e+18
2008-06-23 00:37:24,Major Depressive Disorder,25-34,Female, less than 1 month,5,3,4,"I have been on this med for 10 days and at first it made my brain feel really weird as if it was beinging stimulated. I had my arm and toes feel num with a tingle sensation. I d get moody, but compared to the other 3 meds I have tried this one seems to be working for me.",2008,6,1.214181444e+18
2008-06-25 12:05:14,Depression,25-34,Female, 1 to 6 months,5,4,4,"Been on this medication for 4 weeks now.  Switched from Effexor XR and seeing much more favorable results with Pristiq.  Swithed from the Effexor because it was upsetting my stomach in an extreme manner.  The only major side effect I've experienced has been insomnia.  Did notice mild irritability within the first week of taking it, but it went away quickly.  If what you're taking isn't
					...
					",2008,6,1.214395514e+18
2008-06-25 12:31:59,Other,35-44,Male, less than 1 month,5,4,3,"Been on for 7 days - - my ""OTHER"" category is side effects.  This definitely reduced my symptom of 'unable to ejaculate' with my prior drug.  However, I don't feel much of a change, and can semi-relate to a couple other reviews about 'being more aggressive'.  I didn't have that with the other med, HOWEVER, the other med reduced my 'libido' (interest) a bit
					...
					",2008,6,1.214397119e+18
2008-06-30 14:41:31,Neuropathic Pain,25-34,Female, 1 to 6 months,3,1,1,"I was perscribed Pristiq for neurological pain from fibromyalgia and treatment of depression from years of pain. 

Starting SECOND day of use I had much restlessness with a manic episode and along with insomnia.

THIRD day of use I had a SEVERE reaction called SERENTONIN SYNDROM and felt like I was going to DIE! 

Pristiq is AWEFUL medicine... needs to be taken off of the market! 

On my 3
					...
					",2008,6,1.214836891e+18
2008-07-04 12:42:55,Bipolar Depression,25-34,Female, less than 1 month,5,2,2,"I used this medication for 4 weeks.  At first my depression slightly worsened, then during weeks 3 and 4 I became downright angry and hostile.  It also greatly raised my blood pressure.",2008,7,1.215175375e+18
2008-07-05 22:50:37,Repeated Episodes of Anxiety,35-44,Female, less than 1 month,1,1,1,Dr gave samples on a Monday and by Weds night had to go to the emergancy rm with high blood pressure and high heart rate.  Had 5 episodes of ways of anxiety through my whole body the whole time at the hospital.  Emergancy dr said he had never heard of this drug before.  said to stay away from it.  I am comfronting my home dr about its effects on Monday.  ,2008,7,1.215298237e+18
2008-07-06 12:09:55,Depression,55-64,, less than 1 month,1,1,1,I couldn't sleep and that not good if you have to be into work.  ,2008,7,1.215346195e+18
2008-07-08 18:37:02,Depression,35-44,Female, less than 1 month,5,5,5,"The first week was very angry, went away! I replaced this after four year of Effexor XR and I love it! Its so much better!! I thank my Doc!!! He gave me a ton of free samples, not sure if insurance covers it?? I hope so! ",2008,7,1.215542222e+18
2008-07-08 21:13:35,Bipolar Depression,,Female, less than 1 month,5,2,1,"After taking Effexor XR for 2 years, I have now switched over to this medicine. I have only been taking it for 3 weeks and so far, I haven't really noticed anything except I have been more agitated and very sleepy in the morning after a decent night of sleep.  I'm hoping this will get better.",2008,7,1.215551615e+18
2008-07-09 14:52:03,Repeated Episodes of Anxiety,25-34,Female, less than 1 month,5,1,1,"I noticed side effects from the start.  Stomach was very upset, dizzy, and I couldn't fall asleep at night. Side effects might have gotten better with time but I wasn't able to function enough to stick with it.",2008,7,1.215615123e+18
2008-07-09 15:43:26,Major Depressive Disorder,45-54,Female, less than 1 month,2,1,1,"I also have generalized anxiety disorder and this only made me feel more anxious and irritated. I thought I was the only one until I read these reviews. I feel more sure now that I wasn't alone and can honestly report to Dr. these symptoms. I will stay on my 4 yr. treatment of EffexorXR. I want to also, tell all of you who have severe depression to never feel alone and others are thinking of y
					...
					",2008,7,1.215618206e+18
2008-07-09 18:09:46,Repeated Episodes of Anxiety,25-34,Male, less than 1 month,5,1,1,"I was prescribed this medication for repeated episodes of anxiety.  I took my first dose at noon, right after I returned home from the pharmacy.  That very night, I experienced my worst series of panic attacks.  Needless to say, I called my doctor first thing the next morning.  I don't plan on ever taking this drug again.

If anyone has a success story with this, or a follow-up to a post bel
					...
					",2008,7,1.215626986e+18
2008-07-09 19:31:13,Major Depressive Disorder,35-44,Female, less than 1 month,4,4,3,"I was taking Effexor XR.  My Dr wanted me to try this med.  I felt better on days 1-7.  By the end of my 1st week, I started to feel numbness and tingling on hands/feet; my blood pressure is higher than usual; and my heart rate is always over 100 (even at rest!).  I am calling my Dr next week -- I think I want my ""old"" medicine back.",2008,7,1.215631873e+18
2008-07-10 16:06:39,Depression,35-44,Female, less than 1 month,5,3,2,"I have been dealing with General Anxiety Disorder and Depression,this drug was prescribed to me just recently.  Although I am experiencing some side effects: panic attacks, headache, stomach ache I have been able to get through them and they have not lasted for long periods of time.  I am willing to stick with this in order to see if it helps.  After feeling ALONE and so desperately sad for so lon
					...
					",2008,7,1.215705999e+18
2008-07-14 13:47:55,Depression,19-24,Female, 1 to 6 months,5,4,4,"Pristiq has calmed me down alot. I can think of other things besides bills and cleaning. It has made me able to slow down a little and enjoy my everyday life. I've only been on it for about 6 weeks now, but so far so good! ",2008,7,1.216043275e+18
2008-07-14 18:45:04,Depression,25-34,Female, less than 1 month,5,3,3,"I have been on Effexor XR for about 2 yrs.  I was at a dosage where I had to pay for 2 prescriptions - one 150mg dose and one 37.5 mg dose.  The cost became too much to bear and when I asked about a way to avoid paying for 2 prescriptions my dr. switched me to Pristiq.  I am on day 6 of the medication.  I haven't noticed any difference in the treatment of depression seems to work just as well 
					...
					",2008,7,1.216061104e+18
2008-07-16 19:39:43,Depression,45-54,Female, less than 1 month,5,1,1,"After 5 days, had severe reaction. Difficulty breathing, hands and feet flushed, so with Dr's advice, I stopped taking it. Now I am wondering , how long will I have these side effects?

",2008,7,1.216237183e+18
2008-07-17 22:24:10,Other,35-44,Female, less than 1 month,1,1,1,"I have ADHD with comorbid bipolar and was put on this by a doctor when I had asked for stimulants. The doctor was really pushy about me taking an anti-depressant for my 
ADHD symptoms, even though I was adamant that it would not help. I am now having manic problems and go for days on end without sleeping. I have since found out that people with bipolar disorder should not take Pristiq as it can l
					...
					",2008,7,1.21633345e+18
2008-07-18 16:59:45,Depression,45-54,Female, less than 1 month,5,3,3,only on it for 2 1/2 weeks so far.,2008,7,1.216400385e+18
2008-07-20 20:43:51,Depression,55-64,Female, 1 to 6 months,5,3,3,"I was on 100 mg. for 1 month and did not feel much emotion & couldn't get out of bed Down to 50mg. for 6 days and so emotional about everything.  Cry, which I haven't been able to do when on 100 mg. Is this normal?",2008,7,1.216586631e+18
2008-07-24 18:44:52,Major Depressive Disorder,25-34,Female, 1 to 6 months,5,4,3,"I switched to this from EffexorXR.  I was taking a very high dose of effexor and don't quit understand how cutting back to just 50mg can justify my symptoms.  I have also had the sleepless night, and increase hostility at times.  I tried to increase to 100mg, but I felt aweful.  I still have my moments, but i will stick to the 50mg once a day.",2008,7,1.216925092e+18
2008-07-26 00:27:03,Depression,45-54,Female, less than 1 month,5,2,2,I was put on this medicine after 8 years on Effexor XR.  After taking this for two weeks I noticed that my depression is getting worse.  I have started back crying and beginning to think of sucide again.  I plan to talk to my doctor as soon as possible and get another medicine since it appears this one is not helping at all.,2008,7,1.217032023e+18
2008-07-27 03:03:41,Depression,,,,4,2,1,I have noticed a terrible headache with this drug.  Switched from effexor after almost 8 years.  I do not like it.  I am irritable and can not sleep without sleeping meds.  I don't want to cycle my life around a medicine.,2008,7,1.217127821e+18
2008-07-27 10:12:47,Depression,35-44,Female, 1 to 6 months,5,5,5,"after being on zoloft,effexor,prozac...I see a difference...it is a great drug for my depression...and my ins covers it unlike when effexor first came out.",2008,7,1.217153567e+18
2008-07-29 20:30:42,Depression,45-54,Female, less than 1 month,5,3,1,"After taking Celexa, Lexapro, Zoloft and others for 10 years, I felt my depression and overall health getting worse, so I asked for something new. My psychiatrist suggested Pristiq. After only 4 days, I decided to stop taking it because of unbearable night sweats, as well as some daytime sweating. One night, I had to change my sweat-soaked PJs three times and then try to sleep wrapped in a towel. 
					...
					",2008,7,1.217363442e+18
2008-08-10 15:47:58,Depression,45-54,Male, less than 1 month,5,2,3,I have been taking this medication for 2 weeks now. It seems to be helping with my severe days of depression. I feel however that it is keeping my blood pressure high. I am taking Lotril 5/10mg for my blood pressure and it is not working.,2008,8,1.218383278e+18
2008-08-12 13:24:29,Depression,35-44,Female, less than 1 month,5,3,4,No side effects only been taking for a week.  Hopeful it will help my long term depression which has not been helped by about 30 different antidepressants over the years.,2008,8,1.218547469e+18
2008-08-13 11:09:45,Depression,45-54,Female, 1 to 6 months,5,4,4,Changed to Pristiq 50 mg from 150mg of Effexor. It seems to be controlling symptoms of depression. I have experienced symptoms of moodiness. The Dr. prescribed 25mg of Lamictal at bedtime for moodiness. I am doing great now. My insurance covers both meds.,2008,8,1.218625785e+18
2008-08-15 08:54:39,Posttraumatic Stress Syndrome,25-34,Female, 1 to 6 months,5,1,2,"I began taking this medication replacing Cellexa in the treatment of my PTSD. I have found that my excitability (which was why my Doc switched meds), has stayed the same. Being one of the millions of the un-insured, I also find it more than a little insulting that the same compound I am taking now would be a by-product of Effexor XR,  which would cost me over $100.00 less a month. The fact that dr
					...
					",2008,8,1.218790479e+18
2008-08-16 01:11:52,Other,19-24,Female, 1 to 6 months,5,4,5,"The reason I got put on this medication was because I was very angry all the time. I was afraid I was going to take it out on my children (which I hadn't) But I was still afraid it was going to come to that...I have a 2 year old and they are a BIG challenge, on top of that I just had a baby and my husband was deployed to Iraq....The first day I took it I was just OUT OF IT. Nothing bothered me
					...
					",2008,8,1.218849112e+18
2008-08-19 12:46:24,Depression,25-34,Female, less than 1 month,5,5,4,"This is the first time I have been prescribed medication for depression & anxiety.  I have been taking Pristiq for 5 days and it is working well.  There are side effects - nausea, dry mouth and major loss of appetite (I've lost 4 pounds in 5 days).  I feel like I'm taking ephedrine, but I hope the weight loss continues.  I am very pleased with this medication, but one of my complaints 
					...
					",2008,8,1.219149984e+18
2008-08-22 00:20:15,Bipolar Depression,35-44,Female, less than 1 month,5,5,5,"I have been taking it for 2 and half weeks, feeling great and glad I am taking it. Had taken Effexor xr for a couple of yrs and stopped taking it in Dec 07. Pristiq seems to be much better.",2008,8,1.219364415e+18
2008-08-23 16:16:47,Extreme Apprehension or Fear of Social Interaction,55-64,Female, less than 1 month,4,1,1,"I've taken Prozac for years with great results, but after menopause, I was experiencing anxiety again. My doctor suggested changing to Pristiq.  I've taken it for 3 weeks and and cannot take it anymore!! My blood pressure is higher, I have a headache everyday, I'm depressed now, and feel like my brain is scrambled. I do NOT need the norepinephrine reuptake inhibitors. I feel like I'
					...
					",2008,8,1.219508207e+18
2008-08-26 22:08:06,Depression,45-54,Female, 1 to 6 months,1,1,1,"I previously reviewed this drug last month, and here to update. Turns out many, or all of the side effects I was having WERE related to Pristiq 50-100mg: Daily- severe headaches, Vomiting, Dizziness, Numbness in one foot, fast irregular heartbeat (HR 99-110), Blurred Vision, very little (and concentrated) urine, nearly fainted when standing up, low grade temp (99-100), & difficulty concentrati
					...
					",2008,8,1.219788486e+18
2008-08-27 15:01:07,Major Depressive Disorder,25-34,Male, less than 1 month,4,3,2,"I took Pristiq for a week about 2 and a half months ago.  I was feeling out of control in the sense that I was smiling awkwardly, somewhat abnormally. I figured that I was in a transition period, however, after a week I stopped taking it because I feel agitated and a little paranoid about how I was talking, I felt I was talking too fast.  Last night I started again, my mood has been fairly normal 
					...
					",2008,8,1.219849267e+18
2008-08-28 19:10:43,Depression,45-54,Female, less than 1 month,3,2,1,"I've taken pristiq for seven days and can't bear it any longer. Headache, jittery, eyes feel buggy,eyes dilated, just want to close my eyes, shortness of breath, stiff neck, uncoordinated, dizzy, burpy, difficulty urinating, moments of severe fatigue. Would rather cry all day than experience these side effects. ",2008,8,1.219950643e+18
2008-08-29 05:41:47,Repeated Episodes of Anxiety,25-34,Male, less than 1 month,2,2,5,"It has slightly helped my depression, anxiety, panic attacks,,, but the downside is that it negatively affects my insomnia.  ",2008,8,1.219988507e+18
2008-08-29 20:39:57,Depression,19-24,Female, less than 1 month,5,2,1,"After taking 3 different SSRIs my DR suggested Pristiq.  I have trouble sleeping now, I have TERRIBLE headaches on a daily basis, and horrible nausea.  Dr told me to take it every other day until I get used to it and the nausea goes away, but it has only gotten worse.  DO NOT TRUST NEW DRUGS!!!",2008,8,1.220042397e+18
2008-08-31 00:48:14,Depression,55-64,Female, 1 to 6 months,5,5,5,I have had depression off and on for most of my adult life and have taken every antidepressant out there. My husband suddenly died in March and I became very depressed. The Dr. game me the Pristiq and it worked the quickest of any I've ever taken. I've been on it for 3 mos. I haven't had any side effects. I am so thankful for this new drug. ,2008,8,1.220143694e+18
2008-08-31 18:11:39,Depression,35-44,Female, less than 1 month,5,5,5,Am so happy to have found a drug that motivates and energizes me after taking so many that just zone me out!  Have also lost the 8 pounds that I packed on when taking Lexapro.  Depression is gone and I'm feeling better than ever after only 2 weeks. WOW!,2008,8,1.220206299e+18
2008-08-31 19:07:45,Bipolar Depression,55-64,Female, 1 to 6 months,5,4,1,"I have been treated for chronic depression and anxiety for many many years and have gone through tons of different meds. I have fibromylgia and my husband has P.T.S.D. from Nam, lots of problems in our lives. After 6 weeks as an out patient at a behavioral center, I was diagnosed with bipolar. I've been on Pristiq for 9 wks. now. The only symptom I recognize is terrible terrible nausea. Effect
					...
					",2008,8,1.220209665e+18
2008-08-31 21:02:20,Depression,25-34,Male, less than 1 month,4,4,4,"Ive only been on the med for 7 days but i feel better.  i still get anxious, but my racing thoughts and feelings of anger have stopped.  i take a generic benadryl an hour before bed and have had no problems sleeping.  ",2008,8,1.22021654e+18
2008-09-02 03:59:58,Other,,,,1,1,1,"10 day periods instead of 3 days huge clumps of blood did this for 3 months in a row

bruises all over my body and never have bruises

complained to doctor and all he did was refer me to an OB to find out what was wrong with me when I had just had a complete physical and perfectly fine

wish there was something else i could use 'cause it sure did help me with remembering, emotions, stres
					...
					",2008,9,1.220327998e+18
